[GIN-debug] [WARNING] Creating an Engine instance with the Logger and Recovery middleware already attached.

[GIN-debug] [WARNING] Running in "debug" mode. Switch to "release" mode in production.
 - using env:	export GIN_MODE=release
 - using code:	gin.SetMode(gin.ReleaseMode)

[GIN-debug] GET    /health                   --> apiperformancemonitor/internal/api.(*Server).Routes.func1 (4 handlers)
[GIN-debug] POST   /urls                     --> apiperformancemonitor/internal/api.(*Server).addURL-fm (4 handlers)
[GIN-debug] GET    /urls                     --> apiperformancemonitor/internal/api.(*Server).listURLs-fm (4 handlers)
[GIN-debug] DELETE /urls/:id                 --> apiperformancemonitor/internal/api.(*Server).deleteURL-fm (4 handlers)
[GIN-debug] GET    /checks                   --> apiperformancemonitor/internal/api.(*Server).recentChecks-fm (4 handlers)
[GIN-debug] GET    /status                   --> apiperformancemonitor/internal/api.(*Server).latestStatus-fm (4 handlers)
[GIN-debug] [WARNING] You trusted all proxies, this is NOT safe. We recommend you to set a value.
Please check https://pkg.go.dev/github.com/gin-gonic/gin#readme-don-t-trust-all-proxies for details.
[GIN-debug] Listening and serving HTTP on :8080
[GIN] 2025/09/09 - 04:52:07 | 200 |     350.583µs |             ::1 | GET      "/checks?url_id=2&limit=1"
[GIN] 2025/09/09 - 04:52:07 | 200 |      948.25µs |             ::1 | GET      "/checks?url_id=2&limit=50"
[GIN] 2025/09/09 - 04:52:14 | 200 |     415.458µs |             ::1 | GET      "/urls"
[GIN] 2025/09/09 - 04:52:14 | 200 |     231.875µs |             ::1 | GET      "/checks?url_id=2&limit=1"
[GIN] 2025/09/09 - 04:52:14 | 200 |     177.958µs |             ::1 | GET      "/checks?url_id=5&limit=1"
[GIN] 2025/09/09 - 04:52:14 | 200 |      303.75µs |             ::1 | GET      "/checks?url_id=2&limit=50"
[GIN] 2025/09/09 - 04:52:15 | 200 |      706.75µs |             ::1 | GET      "/checks?url_id=5&limit=50"
[GIN] 2025/09/09 - 04:52:24 | 200 |     356.458µs |             ::1 | GET      "/checks?url_id=2&limit=1"
[GIN] 2025/09/09 - 04:52:24 | 200 |     324.042µs |             ::1 | GET      "/checks?url_id=5&limit=1"
[GIN] 2025/09/09 - 04:52:25 | 200 |     384.167µs |             ::1 | GET      "/checks?url_id=5&limit=50"
